Industries,State,YEARS,SCORE,INSPECTION DATE
Agriculture,Northland,2000,327,6/20/2018
Agriculture,Northland,2001,459,11/9/2016
Agriculture,Northland,2002,510,5/14/2019
Agriculture,Northland,2003,334,12/8/2016
Agriculture,Northland,2004,372,7/13/2017
Agriculture,Northland,2005,356,10/11/2017
Agriculture,Northland,2006,276,6/25/2019
Agriculture,Northland,2007,336,6/20/2018
Agriculture,Northland,2008,512,9/3/2019
Agriculture,Northland,2009,368,2/6/2018
Agriculture,Northland,2010,414,5/10/2018
Agriculture,Northland,2011,538,2/18/2017
Agriculture,Northland,2012,505,7/20/2017
Agriculture,Northland,2013,432,2/22/2019
Agriculture,Northland,2014,628,5/23/2019
Agriculture,Northland,2015,404,11/1/2019
Agriculture,Northland,2016,409,5/2/2018
Agriculture,Northland,2017,661,7/25/2018
"Forestry, Fishing, and Mining",Northland,2000,166,2/13/2017
"Forestry, Fishing, and Mining",Northland,2001,178,1/1/1900
"Forestry, Fishing, and Mining",Northland,2002,199,10/22/2018
"Forestry, Fishing, and Mining",Northland,2003,195,8/20/2019
"Forestry, Fishing, and Mining",Northland,2004,150,3/6/2018
"Forestry, Fishing, and Mining",Northland,2005,144,2/16/2019
"Forestry, Fishing, and Mining",Northland,2006,164,8/3/2017
"Forestry, Fishing, and Mining",Northland,2007,176,11/18/2019
"Forestry, Fishing, and Mining",Northland,2008,161,12/5/2019
"Forestry, Fishing, and Mining",Northland,2009,168,6/7/2018
"Forestry, Fishing, and Mining",Northland,2010,196,6/7/2018
"Forestry, Fishing, and Mining",Northland,2011,215,12/6/2018
"Forestry, Fishing, and Mining",Northland,2012,223,9/10/2019
"Forestry, Fishing, and Mining",Northland,2013,216,3/4/2019
"Forestry, Fishing, and Mining",Northland,2014,245,10/10/2017
"Forestry, Fishing, and Mining",Northland,2015,233,5/20/2019
"Forestry, Fishing, and Mining",Northland,2016,274,6/19/2017
"Forestry, Fishing, and Mining",Northland,2017,301,12/12/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2000,213,3/7/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2001,232,5/28/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2002,243,4/30/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2003,247,10/26/2017
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2004,212,12/28/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2005,212,10/8/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2006,241,10/4/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2007,270,10/18/2017
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2008,269,11/1/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2009,283,7/8/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2010,307,1/24/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2011,356,1/17/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2012,374,3/26/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2013,386,2/5/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2014,419,9/7/2017
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2015,401,4/5/2017
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2016,447,9/16/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Northland,2017,488,9/19/2017
Primary Manufacturing,Northland,2000,,10/4/2019
Primary Manufacturing,Northland,2001,,12/17/2019
Primary Manufacturing,Northland,2002,,11/16/2016
Primary Manufacturing,Northland,2003,,9/29/2017
Primary Manufacturing,Northland,2004,,4/11/2019
Primary Manufacturing,Northland,2005,,10/18/2019
Primary Manufacturing,Northland,2006,,4/19/2017
Primary Manufacturing,Northland,2007,,5/19/2016
Primary Manufacturing,Northland,2008,,1/23/2019
Primary Manufacturing,Northland,2009,,5/17/2016
Primary Manufacturing,Northland,2010,,6/27/2017
Primary Manufacturing,Northland,2011,,1/19/2017
Primary Manufacturing,Northland,2012,,2/5/2019
Primary Manufacturing,Northland,2013,,8/26/2019
Primary Manufacturing,Northland,2014,,10/26/2018
Primary Manufacturing,Northland,2015,,8/13/2019
Primary Manufacturing,Northland,2016,,12/18/2017
Primary Manufacturing,Northland,2017,,5/1/2019
Other Manufacturing,Northland,2000,,8/7/2017
Other Manufacturing,Northland,2001,,4/7/2017
